name,PLD,desity(g/cm^3),VSA(m^2/cm^3),GSA(m^2/g),Vp(cm^3/g),void_fraction,C/wt%,H/wt%,N/wt%,F/wt%,total degree of unsaturation,metalic percentage,electronegtive-to-total ratio,weighted electronegativity per atom,target
FeFFIVE_6_Fe_i,4.38119,1.02593,925.491,902.103,0.367434,0.37696,62.28382674,3.658934989,7.26342154,12.31442158,91,5,0.113924051,2.476708861,30.43580457
FeFFIVE_6_Ni_i,4.30165,1.05586,867.958,822.041,0.346467,0.36582,62.05471313,3.645475446,7.236702746,12.26912247,91,5,0.113924051,2.476708861,29.86385521
FeFFIVE_6_Zn_i,4.38328,1.04293,902.751,865.595,0.360256,0.37572,61.5233312,3.614258804,7.174733995,12.16406051,91,5,0.113924051,2.497594937,30.31371891
FeFFIVE_7_Cd,10.63471,0.649477,1728.27,2661.03,1.06871,0.6941,45.92406846,3.211740697,8.925962686,15.13309766,22,8.333333333,0.163636364,2.495636364,85.15912062
FeFFIVE_7_Co,9.78746,0.664021,1766.73,2660.65,1.01575,0.67448,50.20096827,3.5108495,9.757235903,16.54244018,22,8.333333333,0.163636364,2.495636364,85.67224085
FeFFIVE_7_Cu,9.93933,0.653159,1767.38,2705.89,1.03978,0.67914,49.80089249,3.482869843,9.679475773,16.41060548,22,8.333333333,0.163636364,2.530181818,86.7433486
FeFFIVE_7_Fe,9.98569,0.656511,1745.27,2658.4,1.02697,0.67422,50.47239517,3.529831983,9.809991386,16.63188195,22,8.333333333,0.163636364,2.495636364,85.27201217
FeFFIVE_7_Ni,10.06875,0.652979,1737.77,2661.3,1.03228,0.67406,50.22195895,3.512317502,9.761315725,16.54935712,22,8.333333333,0.163636364,2.495636364,85.41464433
FeFFIVE_7_Zn,10.24045,0.666458,1701.28,2552.72,0.99343,0.66208,49.64359952,3.471869419,9.648903761,16.35877362,22,8.333333333,0.163636364,2.525636364,82.00569178
GaFFIVE_1_Cd,8.04283,0.850304,1669.91,1963.9,0.733972,0.6241,40.74985708,2.735882504,9.504341822,16.11368297,9.5,10,0.191489362,2.516170213,63.14952678
GaFFIVE_1_Co,7.08544,0.898912,1632.36,1815.93,0.653624,0.58755,44.81532474,3.008831727,10.45255605,17.72128756,9.5,10,0.191489362,2.516170213,53.80446633
